Symbol,Company Name,Market Cap,Stock Price,Revenue
MRTN,"Marten Transport, Ltd.",1.44B,17.63,1.04B
OPRA,Opera Limited,1.43B,16.18,427.25M
INFN,Infinera Corporation,1.43B,6.07,1.50B
OCUL,"Ocular Therapeutix, Inc.",1.42B,9.11,61.10M
SASR,"Sandy Spring Bancorp, Inc.",1.42B,31.42,395.98M
COCO,"The Vita Coco Company, Inc.",1.41B,24.89,500.02M
TWKS,"Thoughtworks Holding, Inc.",1.41B,4.36,1.03B
CENX,Century Aluminum Company,1.41B,15.16,2.11B
OCSL,Oaktree Specialty Lending Corporation,1.40B,17.02,388.87M
SONO,"Sonos, Inc.",1.39B,11.51,1.57B
WABC,Westamerica Bancorporation,1.39B,52.08,312.49M
MTTR,"Matterport, Inc.",1.39B,4.35,162.28M
VITL,"Vital Farms, Inc.",1.39B,32.18,541.56M
DAWN,"Day One Biopharmaceuticals, Inc.",1.39B,14.09,8.19M
INMD,InMode Ltd.,1.38B,16.25,416.63M
MCRI,"Monarch Casino & Resort, Inc.",1.37B,74.24,510.95M
IMKTA,"Ingles Markets, Incorporated",1.37B,71.94,5.83B
AHCO,AdaptHealth Corp.,1.36B,10.45,3.26B
LBPH,"Longboard Pharmaceuticals, Inc.",1.35B,34.79,-
RDFN,Redfin Corporation,1.35B,11.08,1.01B
XRX,Xerox Holdings Corporation,1.34B,10.79,6.50B
ANGI,Angi Inc.,1.34B,2.68,1.27B
DCBO,Docebo Inc.,1.34B,44.20,200.24M
NMFC,New Mountain Finance Corporation,1.33B,12.36,372.54M
CSGS,"CSG Systems International, Inc.",1.33B,47.15,1.17B
VBTX,"Veritex Holdings, Inc.",1.33B,24.45,363.13M
UPWK,Upwork Inc.,1.32B,10.02,743.73M
PLSE,"Pulse Biosciences, Inc.",1.32B,21.48,-
CIFR,Cipher Mining Inc.,1.32B,4.00,158.67M
ADEA,Adeia Inc.,1.31B,12.07,359.02M
WINA,Winmark Corporation,1.31B,371.59,82.59M
WKME,WalkMe Ltd.,1.30B,13.85,272.99M
SANA,"Sana Biotechnology, Inc.",1.30B,5.84,-
PLAY,"Dave & Buster's Entertainment, Inc.",1.30B,32.79,2.20B
SYRE,"Spyre Therapeutics, Inc.",1.30B,25.53,-
MFIC,MidCap Financial Investment Corporation,1.30B,13.81,277.61M
QCRH,"QCR Holdings, Inc.",1.29B,76.46,336.45M
MOMO,Hello Group Inc.,1.28B,6.92,1.63B
REAX,The Real Brokerage Inc.,1.28B,6.66,937.50M
ESTA,Establishment Labs Holdings Inc.,1.28B,45.65,151.35M
SAFT,"Safety Insurance Group, Inc.",1.27B,85.83,1.03B
NEXT,NextDecade Corporation,1.27B,4.90,-
MRVI,"Maravai LifeSciences Holdings, Inc.",1.26B,8.91,278.59M
COHU,"Cohu, Inc.",1.26B,26.87,500.35M
SPRY,"ARS Pharmaceuticals, Inc.",1.26B,12.96,500.00K
RBCAA,"Republic Bancorp, Inc.",1.25B,64.55,315.69M
CRCT,"Cricut, Inc.",1.25B,5.79,741.49M
XPEL,"XPEL, Inc.",1.25B,45.27,408.24M
TNGX,"Tango Therapeutics, Inc.",1.24B,11.57,42.51M
ATRC,"AtriCure, Inc.",1.24B,25.44,429.95M
DMLP,"Dorchester Minerals, L.P.",1.23B,30.78,155.58M
PDFS,"PDF Solutions, Inc.",1.23B,31.81,166.45M
UDMY,"Udemy, Inc.",1.22B,8.14,765.47M
ACMR,"ACM Research, Inc.",1.22B,19.49,693.56M
HELE,Helen of Troy Limited,1.22B,53.36,1.95B
TASK,"TaskUs, Inc.",1.22B,13.72,925.29M
SCSC,"ScanSource, Inc.",1.22B,49.19,3.46B
ADV,Advantage Solutions Inc.,1.21B,3.78,4.07B
ANIP,"ANI Pharmaceuticals, Inc.",1.20B,61.68,538.95M
VIR,"Vir Biotechnology, Inc.",1.20B,8.77,78.88M
ECPG,"Encore Capital Group, Inc.",1.20B,50.58,1.27B
SGML,Sigma Lithium Corporation,1.19B,10.78,215.17M
GABC,"German American Bancorp, Inc.",1.19B,40.24,246.85M
GIII,"G-III Apparel Group, Ltd.",1.19B,26.54,3.10B
SCVL,"Shoe Carnival, Inc.",1.19B,43.87,1.20B
FSUN,FirstSun Capital Bancorp,1.19B,42.89,342.97M
KALU,Kaiser Aluminum Corporation,1.18B,74.30,2.98B
SABR,Sabre Corporation,1.18B,3.07,2.98B
INVA,"Innoviva, Inc.",1.18B,18.86,330.50M
COLL,"Collegium Pharmaceutical, Inc.",1.17B,36.26,576.65M
PRTA,Prothena Corporation plc,1.17B,21.71,217.25M
BLFS,"BioLife Solutions, Inc.",1.17B,25.30,139.96M
EVO,Evotec SE,1.16B,3.35,844.79M
TYRA,"Tyra Biosciences, Inc.",1.16B,22.06,-
LZ,"LegalZoom.com, Inc.",1.16B,6.62,677.51M
CSWC,Capital Southwest Corporation,1.16B,24.72,189.13M
TRNS,"Transcat, Inc.",1.16B,126.64,265.59M
IMTX,Immatics N.V.,1.16B,11.21,75.94M
FORTY,Formula Systems (1985) Ltd.,1.15B,76.06,2.66B
ARQT,"Arcutis Biotherapeutics, Inc.",1.15B,9.83,132.06M
HUT,Hut 8 Corp.,1.14B,12.57,171.99M
ANAB,"AnaptysBio, Inc.",1.14B,37.75,30.47M
TBLA,Taboola.com Ltd.,1.13B,3.38,1.62B
KARO,Karooooo Ltd.,1.13B,36.68,227.97M
SSRM,SSR Mining Inc.,1.13B,5.60,1.23B
OPK,"OPKO Health, Inc.",1.12B,1.61,716.37M
COGT,"Cogent Biosciences, Inc.",1.11B,10.18,-
CRAI,"CRA International, Inc.",1.11B,163.48,652.40M
SGH,"SMART Global Holdings, Inc.",1.11B,20.94,1.18B
PEBO,Peoples Bancorp Inc.,1.11B,31.85,434.19M
SILK,"Silk Road Medical, Inc",1.11B,27.24,191.43M
ULH,"Universal Logistics Holdings, Inc.",1.11B,42.04,1.77B
CALT,Calliditas Therapeutics AB (publ),1.10B,40.47,151.09M
AOSL,Alpha and Omega Semiconductor Limited,1.10B,38.33,657.27M
GYRE,"Gyre Therapeutics, Inc.",1.10B,12.84,111.59M
BITF,Bitfarms Ltd.,1.10B,2.44,172.70M
PFBC,Preferred Bank,1.10B,82.29,263.71M
TILE,"Interface, Inc.",1.10B,18.82,1.27B
UNIT,Uniti Group Inc.,1.10B,4.49,1.16B
XNCR,"Xencor, Inc.",1.09B,17.67,133.62M
BELFA,Bel Fuse Inc.,1.09B,86.99,559.99M
JBSS,"John B. Sanfilippo & Son, Inc.",1.09B,93.90,1.07B
MSEX,Middlesex Water Company,1.09B,61.08,174.99M
AMPL,"Amplitude, Inc.",1.09B,8.81,287.96M
ELVN,"Enliven Therapeutics, Inc.",1.09B,23.00,-
AVAH,Aveanna Healthcare Holdings Inc.,1.08B,5.60,1.95B
ATSG,"Air Transport Services Group, Inc.",1.07B,16.43,2.01B
DGII,Digi International Inc.,1.07B,29.47,431.16M
MXL,"MaxLinear, Inc.",1.07B,12.76,448.14M
GDYN,"Grid Dynamics Holdings, Inc.",1.07B,13.91,318.34M
AUTL,Autolus Therapeutics plc,1.06B,3.99,10.50M
PNTG,"The Pennant Group, Inc.",1.06B,34.96,611.81M
ERII,"Energy Recovery, Inc.",1.05B,18.23,133.51M
PWP,Perella Weinberg Partners,1.05B,20.01,725.53M
ARRY,"Array Technologies, Inc.",1.05B,6.92,1.10B
ICHR,"Ichor Holdings, Ltd.",1.05B,31.07,804.85M
CGEM,"Cullinan Therapeutics, Inc.",1.05B,18.03,-
HIMX,"Himax Technologies, Inc.",1.04B,5.96,913.37M
ACDC,ProFrac Holding Corp.,1.04B,6.50,2.22B
FWRG,"First Watch Restaurant Group, Inc.",1.04B,17.21,964.86M
OCFC,OceanFirst Financial Corp.,1.04B,17.80,376.06M
BTDR,Bitdeer Technologies Group,1.04B,7.54,420.89M
SBSI,"Southside Bancshares, Inc.",1.02B,33.84,240.49M
MDXG,"MiMedx Group, Inc.",1.01B,6.90,340.46M
ASTL,Algoma Steel Group Inc.,1.01B,9.72,1.91B
HDL,Super Hi International Holding Ltd.,1.01B,15.55,712.07M
HTZ,"Hertz Global Holdings, Inc.",1.01B,3.29,9.32B
QNST,"QuinStreet, Inc.",1.01B,17.96,613.51M
CECO,CECO Environmental Corp.,1.00B,28.65,566.96M
BHRB,Burke & Herbert Financial Services Corp.,1.00B,66.97,124.67M
EOLS,"Evolus, Inc.",1.00B,15.86,237.26M
AMAL,Amalgamated Financial Corp.,995.30M,32.48,292.03M
XMTR,"Xometry, Inc.",994.80M,20.18,502.36M
TRS,TriMas Corporation,994.23M,24.46,912.50M
WTO,UTime Limited,992.05M,2.20,23.84M
ODP,The ODP Corporation,989.97M,29.48,7.40B
PLYA,Playa Hotels & Resorts N.V.,989.59M,7.64,980.60M
JACK,Jack in the Box Inc.,989.58M,51.74,1.59B
DCOM,"Dime Community Bancshares, Inc.",982.63M,25.10,320.39M
GOGO,Gogo Inc.,978.80M,7.71,402.14M
TH,Target Hospitality Corp.,976.19M,9.72,479.55M
FIP,FTAI Infrastructure Inc.,975.86M,9.29,329.57M
CMCO,Columbus McKinnon Corporation,975.39M,33.81,1.02B
HTLD,"Heartland Express, Inc.",971.77M,12.38,1.12B
TARS,"Tarsus Pharmaceuticals, Inc.",971.21M,25.53,83.37M
CNOB,"ConnectOne Bancorp, Inc.",968.34M,25.31,251.24M
PCT,"PureCycle Technologies, Inc.",968.32M,5.87,-
EH,EHang Holdings Limited,968.27M,15.30,34.26M
AUPH,Aurinia Pharmaceuticals Inc.,966.62M,6.76,207.11M
PHVS,Pharvaris N.V.,964.04M,17.85,-
RLAY,"Relay Therapeutics, Inc.",964.01M,7.20,35.21M
WGS,GeneDx Holdings Corp.,963.23M,35.76,243.66M
VRDN,"Viridian Therapeutics, Inc.",961.54M,15.05,288.00K
NRDS,"NerdWallet, Inc.",959.44M,12.19,599.00M
FMBH,"First Mid Bancshares, Inc.",955.25M,39.96,304.67M
KRNT,Kornit Digital Ltd.,954.84M,20.08,208.21M
COMM,"CommScope Holding Company, Inc.",943.27M,4.37,5.09B
BFC,Bank First Corporation,941.79M,94.05,182.76M
AMSF,"AMERISAFE, Inc.",940.15M,49.33,309.13M
ETNB,"89bio, Inc.",937.83M,8.86,-
PGY,Pagaya Technologies Ltd.,937.19M,13.05,925.42M
BBSI,"Barrett Business Services, Inc.",934.95M,35.77,1.10B
GCT,GigaCloud Technology Inc.,932.29M,22.54,984.85M
PHAT,"Phathom Pharmaceuticals, Inc.",930.32M,13.84,9.92M
SBGI,"Sinclair, Inc.",929.74M,14.01,3.22B
IMNM,"Immunome, Inc.",927.84M,15.45,10.78M
SDA,SunCar Technology Group Inc.,923.96M,10.30,363.75M
RDWR,Radware Ltd.,923.07M,22.09,259.01M
CPLP,Capital Product Partners L.P.,920.46M,16.77,393.20M
BASE,"Couchbase, Inc.",919.16M,18.27,190.37M
HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,915.94M,2.85,1.21B
BRKL,"Brookline Bancorp, Inc.",909.57M,10.23,335.68M
CFB,"CrossFirst Bankshares, Inc.",908.35M,18.43,236.86M
SHLS,"Shoals Technologies Group, Inc.",908.22M,5.45,454.70M
GPRE,Green Plains Inc.,907.76M,14.04,2.82B
CBRL,"Cracker Barrel Old Country Store, Inc.",906.52M,40.83,3.41B
CTBI,"Community Trust Bancorp, Inc.",905.50M,50.16,223.50M
PETQ,"PetIQ, Inc.",905.05M,30.52,1.13B
PFC,Premier Financial Corp.,904.21M,25.23,250.95M
HA,"Hawaiian Holdings, Inc.",903.93M,17.38,2.77B
PRAA,"PRA Group, Inc.",901.87M,22.88,977.66M
GDEN,"Golden Entertainment, Inc.",895.87M,31.64,829.80M
PRAX,"Praxis Precision Medicines, Inc.",894.07M,50.35,1.77M
SCHL,Scholastic Corporation,892.35M,31.57,1.59B
CSIQ,Canadian Solar Inc.,891.88M,13.48,6.51B
CRON,Cronos Group Inc.,888.93M,2.34,101.78M
FWRD,Forward Air Corporation,886.95M,32.02,1.86B
NN,NextNav Inc.,879.19M,6.96,4.38M
BELFB,Bel Fuse Inc.,875.51M,66.28,559.99M
HSTM,"HealthStream, Inc.",875.45M,28.79,285.24M
INNV,InnovAge Holding Corp.,860.80M,6.33,741.33M
AMRK,"A-Mark Precious Metals, Inc.",859.93M,37.56,10.29B
VMEO,"Vimeo, Inc.",858.83M,5.18,421.08M
IMOS,ChipMOS TECHNOLOGIES INC.,856.49M,23.31,693.69M
CGBD,"Carlyle Secured Lending, Inc.",856.29M,16.84,243.46M
GSM,Ferroglobe PLC,852.06M,4.54,1.64B
PAHC,Phibro Animal Health Corporation,848.15M,20.94,999.56M
BMBL,Bumble Inc.,844.02M,6.67,1.09B
AMSC,American Superconductor Corporation,842.55M,21.28,155.68M
SLRC,SLR Investment Corp.,842.32M,15.44,236.51M
DHC,Diversified Healthcare Trust,842.01M,3.50,1.46B
HUMA,"Humacyte, Inc.",839.04M,7.03,-
NYAX,Nayax Ltd.,836.79M,23.79,268.97M
DNTH,"Dianthus Therapeutics, Inc.",830.73M,28.30,4.12M
UVSP,Univest Financial Corporation,829.62M,28.44,286.64M
EYE,"National Vision Holdings, Inc.",826.46M,10.51,2.16B
CRGX,"CARGO Therapeutics, Inc.",823.99M,17.95,-
MNRO,"Monro, Inc.",822.23M,27.48,1.24B
SHEN,Shenandoah Telecommunications Company,820.77M,15.04,308.62M
CSTL,"Castle Biosciences, Inc.",820.18M,29.57,287.59M
DXPE,"DXP Enterprises, Inc.",818.64M,51.85,1.68B
PLRX,"Pliant Therapeutics, Inc.",817.78M,13.45,-
WOOF,"Petco Health and Wellness Company, Inc.",816.25M,2.99,6.23B
RAPP,"Rapport Therapeutics, Inc.",815.65M,22.30,-
AVBP,"ArriVent BioPharma, Inc.",815.13M,24.27,-
ZYME,Zymeworks Inc.,809.23M,11.39,62.71M
FCBC,"First Community Bankshares, Inc.",809.02M,44.28,164.34M
EMBC,Embecta Corp.,807.83M,14.00,1.12B
ATEC,"Alphatec Holdings, Inc.",806.24M,5.74,540.28M
STGW,Stagwell Inc.,802.23M,7.18,2.61B
HCSG,"Healthcare Services Group, Inc.",800.61M,10.91,1.68B
TCPC,BlackRock TCP Capital Corp.,800.28M,9.35,232.32M
NBBK,"NB Bancorp, Inc.",796.46M,18.65,141.69M
IRWD,"Ironwood Pharmaceuticals, Inc.",795.50M,4.98,400.57M
CFFN,"Capitol Federal Financial, Inc.",795.14M,6.13,-38.13M
LAB,Standard BioTools Inc.,794.27M,2.14,136.30M
HFWA,Heritage Financial Corporation,793.41M,23.00,214.40M
ALGT,Allegiant Travel Company,792.13M,44.78,2.50B
PUBM,"PubMatic, Inc.",790.87M,15.95,282.25M
MATW,Matthews International Corporation,789.72M,25.81,1.83B
KIDS,OrthoPediatrics Corp.,788.42M,32.56,175.07M
EVER,"EverQuote, Inc.",777.82M,22.17,318.92M
FDMT,"4D Molecular Therapeutics, Inc.",777.47M,14.96,20.22M
ERAS,"Erasca, Inc.",776.55M,2.75,-
ASTE,"Astec Industries, Inc.",775.90M,34.03,1.30B
EXAI,Exscientia plc,775.53M,6.00,26.57M
ULCC,"Frontier Group Holdings, Inc.",774.47M,3.45,3.61B
IGIC,International General Insurance Holdings Ltd.,770.05M,17.42,486.56M
TTGT,"TechTarget, Inc.",770.03M,26.95,224.97M
ABCL,AbCellera Biologics Inc.,769.08M,2.61,33.05M
ABL,"Abacus Life, Inc.",768.91M,10.30,95.38M
LQDA,Liquidia Corporation,765.63M,9.97,14.84M
HAYN,"Haynes International, Inc.",765.11M,60.25,614.33M
TREE,"LendingTree, Inc.",764.67M,57.31,667.45M
RPAY,Repay Holdings Corporation,759.29M,8.66,305.93M
HSII,"Heidrick & Struggles International, Inc.",758.24M,37.32,1.06B
PTLO,Portillo's Inc.,758.22M,12.27,702.36M
SLN,Silence Therapeutics plc,758.12M,16.20,22.62M
KRUS,"Kura Sushi USA, Inc.",757.57M,67.37,226.78M
BJRI,"BJ's Restaurants, Inc.",756.69M,32.68,1.33B
WEST,Westrock Coffee Company,756.41M,8.56,835.47M
TRIN,Trinity Capital Inc.,752.53M,14.10,191.01M
MCBS,"MetroCity Bankshares, Inc.",751.60M,29.67,126.44M
SWIM,"Latham Group, Inc.",751.25M,6.50,522.40M
CRML,Critical Metals Corp.,751.09M,9.20,-
MESO,Mesoblast Limited,747.71M,6.56,7.47M
AVO,"Mission Produce, Inc.",747.39M,10.54,1.08B
MBWM,Mercantile Bank Corporation,746.85M,46.28,220.24M
SVC,Service Properties Trust,746.50M,4.50,1.89B
CTKB,"Cytek Biosciences, Inc.",743.01M,5.65,197.71M
CVAC,CureVac N.V.,742.48M,3.31,70.57M
MREO,Mereo BioPharma Group plc,741.91M,4.83,1.00M
SRRK,Scholar Rock Holding Corporation,741.90M,9.27,-
MBUU,"Malibu Boats, Inc.",741.14M,36.26,1.04B
OSBC,"Old Second Bancorp, Inc.",740.92M,16.52,265.72M
KELYA,"Kelly Services, Inc.",739.11M,20.78,4.45B
SLP,"Simulations Plus, Inc.",736.88M,36.83,66.98M
LMB,"Limbach Holdings, Inc.",736.81M,65.36,511.67M
STOK,"Stoke Therapeutics, Inc.",736.54M,13.99,15.16M
ABVX,ABIVAX Société Anonyme,736.47M,11.60,4.97M
KELYB,"Kelly Services, Inc.",735.55M,19.70,4.45B
MLAB,"Mesa Laboratories, Inc.",734.78M,135.84,223.71M
ABUS,Arbutus Biopharma Corporation,734.36M,3.89,10.06M
DAKT,"Daktronics, Inc.",734.06M,15.84,818.08M
INDI,"indie Semiconductor, Inc.",733.63M,4.09,235.32M
ARKO,Arko Corp.,732.83M,6.33,9.32B
STKL,SunOpta Inc.,728.51M,6.10,688.01M
CLNE,Clean Energy Fuels Corp.,726.14M,3.25,404.09M
ATRO,Astronics Corporation,725.04M,20.72,741.40M
WLFC,Willis Lease Finance Corporation,722.25M,109.84,481.26M
FLGT,"Fulgent Genetics, Inc.",721.06M,23.80,290.71M
HCKT,"The Hackett Group, Inc.",719.94M,26.04,297.42M
SVRA,Savara Inc.,719.30M,4.37,-
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",719.02M,59.70,-
HBT,"HBT Financial, Inc.",717.34M,22.73,213.79M
IBCP,Independent Bank Corporation,717.17M,34.32,212.03M
ADPT,Adaptive Biotechnologies Corporation,716.71M,4.86,168.77M
SEZL,Sezzle Inc.,716.38M,127.93,192.69M
WVE,Wave Life Sciences Ltd.,716.00M,5.74,110.50M
SPTN,SpartanNash Company,715.06M,21.19,9.55B
CCB,Coastal Financial Corporation,713.86M,53.05,271.68M
TIPT,Tiptree Inc.,713.72M,19.40,1.91B
FUFU,BitFuFu Inc.,708.62M,4.35,423.70M
ATEX,Anterix Inc.,708.28M,38.09,5.11M
CRSR,"Corsair Gaming, Inc.",707.15M,6.79,1.38B
ROOT,"Root, Inc.",704.40M,46.96,854.20M
GSBC,"Great Southern Bancorp, Inc.",703.00M,60.20,219.38M
DDI,"DoubleDown Interactive Co., Ltd.",698.70M,14.10,332.46M
ALMS,Alumis Inc.,694.19M,12.76,-
ATXS,"Astria Therapeutics, Inc.",694.03M,12.30,-
SCWX,SecureWorks Corp.,693.65M,7.85,357.14M
ORRF,"Orrstown Financial Services, Inc.",693.48M,35.80,129.78M
REPL,"Replimune Group, Inc.",692.78M,10.14,-
RVNC,"Revance Therapeutics, Inc.",691.83M,6.60,251.18M
SIBN,"SI-BONE, Inc.",690.04M,16.55,150.71M
HBNC,"Horizon Bancorp, Inc.",689.78M,15.78,180.00M
TVTX,"Travere Therapeutics, Inc.",686.89M,8.98,177.64M
LQDT,"Liquidity Services, Inc.",684.84M,22.43,336.35M
OLMA,"Olema Pharmaceuticals, Inc.",683.85M,11.95,-
CCAP,"Crescent Capital BDC, Inc.",680.45M,18.36,197.42M
SWBI,"Smith & Wesson Brands, Inc.",678.45M,15.05,535.83M
SIGA,"SIGA Technologies, Inc.",677.29M,9.49,172.96M
ORIC,"ORIC Pharmaceuticals, Inc.",677.21M,9.60,-
LPRO,Open Lending Corporation,676.16M,5.67,98.42M
LEGH,Legacy Housing Corporation,673.64M,27.89,169.39M
DJCO,Daily Journal Corporation,672.94M,488.55,71.61M
THRY,"Thryv Holdings, Inc.",672.70M,18.53,877.69M
CDMO,"Avid Bioservices, Inc.",672.69M,10.58,139.91M
EU,enCore Energy Corp.,668.33M,3.61,35.71M
APLD,Applied Digital Corporation,666.81M,4.55,143.91M
EGBN,"Eagle Bancorp, Inc.",666.62M,22.09,244.03M
APLT,"Applied Therapeutics, Inc.",662.66M,5.77,-333.00K
LXRX,"Lexicon Pharmaceuticals, Inc.",661.53M,1.83,3.64M
FDUS,Fidus Investment Corporation,660.90M,19.93,140.81M
OFIX,Orthofix Medical Inc.,660.04M,17.29,771.65M
NCMI,"National CineMedia, Inc.",658.20M,6.91,207.60M
TRST,TrustCo Bank Corp NY,654.72M,34.44,172.19M
SMBC,"Southern Missouri Bancorp, Inc.",654.56M,58.04,163.14M
PCRX,"Pacira BioSciences, Inc.",654.54M,14.19,690.31M
EZPW,"EZCORP, Inc.",648.67M,11.85,1.14B
BVS,Bioventus Inc.,646.65M,9.92,536.89M
CELC,Celcuity Inc.,642.47M,17.35,-
WRLD,World Acceptance Corporation,642.37M,117.07,563.21M
EVLV,"Evolv Technologies Holdings, Inc.",641.23M,4.07,89.22M
CHUY,"Chuy's Holdings, Inc.",640.97M,37.20,460.07M
ITOS,"iTeos Therapeutics, Inc.",638.40M,17.48,35.00M
FSBC,Five Star Bancorp,635.54M,29.81,111.97M
MNTK,"Montauk Renewables, Inc.",628.79M,4.42,184.62M
TIGR,UP Fintech Holding Limited,627.91M,4.02,231.79M
GOOD,Gladstone Commercial Corporation,627.79M,14.76,145.15M
ADSE,ADS-TEC Energy PLC,627.76M,12.41,118.70M
BIOX,Bioceres Crop Solutions Corp.,625.31M,9.95,445.59M
CRESY,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",625.30M,7.75,248.05M
ANNX,"Annexon, Inc.",622.30M,5.89,-
IGMS,"IGM Biosciences, Inc.",619.88M,10.45,2.91M
SEAT,Vivid Seats Inc.,619.73M,4.70,775.60M
HTBI,"HomeTrust Bancshares, Inc.",619.45M,35.69,187.18M
METC,"Ramaco Resources, Inc.",618.88M,11.80,717.69M
LENZ,"LENZ Therapeutics, Inc.",618.67M,22.50,-
BFST,"Business First Bancshares, Inc.",615.62M,24.14,247.78M
HTBK,Heritage Commerce Corp,615.40M,10.04,174.59M
DMRC,Digimarc Corporation,615.34M,28.81,38.60M
YMAB,"Y-mAbs Therapeutics, Inc.",612.39M,13.74,86.55M
METCB,"Ramaco Resources, Inc.",612.08M,11.02,717.69M
OSPN,OneSpan Inc.,610.48M,16.12,247.53M
HAFC,Hanmi Financial Corporation,610.46M,20.30,237.49M
GLDD,Great Lakes Dredge & Dock Corporation,609.40M,9.07,667.66M
FLWS,"1-800-FLOWERS.COM, Inc.",608.71M,9.48,1.87B
PLPC,Preformed Line Products Company,606.29M,123.39,585.67M
NYMT,"New York Mortgage Trust, Inc.",602.35M,6.65,151.83M
RGNX,REGENXBIO Inc.,599.50M,12.13,89.04M
GHRS,GH Research PLC,597.28M,11.48,-
URGN,UroGen Pharma Ltd.,596.34M,14.16,85.01M
ARCT,Arcturus Therapeutics Holdings Inc.,594.66M,21.99,163.87M
BLDP,Ballard Power Systems Inc.,592.01M,1.99,104.27M
CNDT,Conduent Incorporated,591.13M,3.64,3.63B
ZUMZ,Zumiez Inc.,590.19M,29.11,869.99M
RBBN,Ribbon Communications Inc.,589.90M,3.38,801.85M
CASS,"Cass Information Systems, Inc.",589.33M,43.25,218.45M
VINP,Vinci Partners Investments Ltd.,587.56M,11.06,85.53M
ITRN,Ituran Location and Control Ltd.,587.46M,29.53,328.76M
CAC,Camden National Corporation,586.48M,40.24,162.23M
CEVA,"CEVA, Inc.",583.86M,24.65,98.74M
HAIN,"The Hain Celestial Group, Inc.",581.29M,6.47,1.77B
TRDA,"Entrada Therapeutics, Inc.",581.29M,16.52,239.40M
IRMD,IRADIMED CORPORATION,580.78M,45.84,69.48M
KC,Kingsoft Cloud Holdings Limited,580.61M,2.52,965.35M
TERN,"Terns Pharmaceuticals, Inc.",578.46M,8.22,-
MLYS,"Mineralys Therapeutics, Inc.",577.33M,11.61,-
IMXI,"International Money Express, Inc.",577.16M,17.70,666.16M
CCBG,"Capital City Bank Group, Inc.",576.70M,34.04,221.12M
FULC,"Fulcrum Therapeutics, Inc.",572.22M,9.17,81.63M
LESL,"Leslie's, Inc.",571.38M,3.09,1.36B
FMNB,Farmers National Banc Corp.,570.78M,15.19,169.11M
LVRO,Lavoro Limited,570.21M,4.89,1.85B
NBN,Northeast Bank,568.78M,69.98,152.68M
PPTA,Perpetua Resources Corp.,568.29M,8.79,-
DOYU,DouYu International Holdings Limited,567.54M,17.94,704.53M
NVTS,Navitas Semiconductor Corporation,566.88M,3.09,91.68M
SRDX,"Surmodics, Inc.",566.54M,39.71,120.82M
BTBT,"Bit Digital, Inc.",565.55M,3.83,86.85M
FRPH,"FRP Holdings, Inc.",564.06M,29.64,31.30M
LASR,"nLIGHT, Inc.",562.11M,11.68,197.56M
ECX,ECARX Holdings Inc.,561.19M,1.66,705.23M
VNET,"VNET Group, Inc.",560.63M,2.10,1.04B
SPFI,"South Plains Financial, Inc.",559.77M,34.16,185.14M
SNDL,SNDL Inc.,559.31M,2.11,666.29M
HIFS,Hingham Institution for Savings,559.08M,256.43,54.79M
LIND,"Lindblad Expeditions Holdings, Inc.",556.99M,10.45,591.46M
GCBC,"Greene County Bancorp, Inc.",556.78M,32.70,64.12M
SSYS,Stratasys Ltd.,556.48M,7.90,622.27M
FNKO,"Funko, Inc.",556.04M,10.59,1.07B
INOD,Innodata Inc.,554.85M,19.14,107.34M
PHAR,Pharming Group N.V.,552.39M,7.56,277.56M
WLDN,"Willdan Group, Inc.",549.42M,39.26,551.90M
AXGN,"AxoGen, Inc.",548.75M,12.52,173.48M
NEXN,Nexxen International Ltd.,548.09M,7.99,339.02M
YORW,The York Water Company,548.06M,38.16,73.24M
OTLY,Oatly Group AB,547.09M,0.92,793.07M
WASH,"Washington Trust Bancorp, Inc.",546.72M,32.05,189.11M
ALLO,"Allogene Therapeutics, Inc.",545.78M,2.61,65.00K
GRPN,"Groupon, Inc.",545.26M,13.72,511.89M
HONE,"HarborOne Bancorp, Inc.",544.87M,13.13,164.89M
RXT,"Rackspace Technology, Inc.",544.74M,2.41,2.83B
KALV,"KalVista Pharmaceuticals, Inc.",544.12M,12.63,-
HSAI,Hesai Group,543.70M,4.27,251.10M
ACIC,American Coastal Insurance Corporation,543.56M,11.29,261.18M
CGNT,Cognyte Software Ltd.,542.08M,7.54,322.85M
CNSL,"Consolidated Communications Holdings, Inc.",541.44M,4.57,1.10B
YXT,YXT.COM Group Holding Limited,541.28M,9.01,53.33M
CLFD,"Clearfield, Inc.",538.91M,37.85,169.62M
VALN,Valneva SE,537.67M,7.76,167.66M
AVXL,Anavex Life Sciences Corp.,535.91M,6.32,-
SNCY,"Sun Country Airlines Holdings, Inc.",534.94M,10.13,1.06B
DH,Definitive Healthcare Corp.,530.57M,4.53,258.47M
THRD,"Third Harmonic Bio, Inc.",529.75M,12.89,-
CGC,Canopy Growth Corporation,529.67M,6.21,209.77M
NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",529.03M,12.25,126.91M
THFF,First Financial Corporation,528.92M,44.77,192.70M
KRT,Karat Packaging Inc.,526.99M,26.33,409.32M
MGIC,Magic Software Enterprises Ltd.,526.34M,10.72,523.33M
PRTC,PureTech Health plc,525.22M,22.45,3.33M
NRC,National Research Corporation,522.30M,21.88,146.28M
