Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date,Symbol,Company Name,Market Cap,Stock Price,Revenue,MA20,MA50,MA200,20-Day Percent Change,100-Day Percent Change,News1,News2,News3,News4,News5,combined_news,sentiment,Sentiment_News1,Sentiment_News2,Sentiment_News3,Sentiment_News4,Sentiment_News5
,,,-1,362,,,,,HUDI,"Huadi International Group Co., Ltd.",31.05M,2.18,83.46M,-5.34%,-8.52%,-20.07%,-17.24%,-18.80%,,,,,,,1,-1,-1,-1,-1,-1
36.38M,"13,935",-6.09M,-1,87,1.350,,,"Sep 3, 2024",WHLM,"Wilhelmina International, Inc.",30.94M,6.00,17.00M,-2.63%,-2.94%,14.56%,-4.02%,+26.79%,Wilhelmina trading resumes,"Wilhelmina trading halted, volatility trading pause",,,,"Wilhelmina trading resumes Wilhelmina trading halted, volatility trading pause",0,0,0,-1,-1,-1
,,,-1,108,,,,,LFWD,ReWalk Robotics Ltd.,30.90M,3.52,23.28M,-8.31%,-11.77%,-32.82%,-27.73%,-40.14%,"Lifeward’s First Annual Step Challenge Donates €5,000 to German Association for People Living with Spinal Cord Injury",ReWalk Robotics Approves Directors and Company Renaming at Annual Meeting,Lifeward to Present at the H.C. Wainwright 26th Annual Global Investment Conference,"Analysts Offer Insights on Healthcare Companies: Hoth Therapeutics (HOTH), Rewalk Robotics (LFWD) and Rani Therapeutics Holdings (RANI)",Lake Street Remains a Buy on Rewalk Robotics (LFWD),"Lifeward’s First Annual Step Challenge Donates €5,000 to German Association for People Living with Spinal Cord Injury ReWalk Robotics Approves Directors and Company Renaming at Annual Meeting Lifeward to Present at the H.C. Wainwright 26th Annual Global Investment Conference Analysts Offer Insights on Healthcare Companies: Hoth Therapeutics (HOTH), Rewalk Robotics (LFWD) and Rani Therapeutics Holdings (RANI) Lake Street Remains a Buy on Rewalk Robotics (LFWD)",0,0,0,0,0,0
4.14M,"5,634","-617,603",-1,16,11.64,,,,BHAT,Blue Hat Interactive Entertainment Technology,30.89M,0.53,73.69M,0.67%,-31.35%,-41.01%,-32.30%,-46.02%,Blue Hat Interactive announces execution of $66.49M gold acquisition,Blue Hat Announced Execution of $66.49 Million Gold Acquisition,Blue Hat Interactive expands into gold trading with partnerships,Blue Hat Expands into Gold Trading with Strategic Partnerships As Gold Prices Rise Amid Economic Optimism,,Blue Hat Interactive announces execution of $66.49M gold acquisition Blue Hat Announced Execution of $66.49 Million Gold Acquisition Blue Hat Interactive expands into gold trading with partnerships Blue Hat Expands into Gold Trading with Strategic Partnerships As Gold Prices Rise Amid Economic Optimism,0,1,1,1,1,-1
,,,-1,124,,,,,BTM,Bitcoin Depot Inc.,30.87M,1.73,629.50M,-4.24%,-6.39%,-23.91%,-2.96%,-6.29%,The big risks of bitcoin ATMs,Here’s What You Missed in Crypto This Week,"Bitcoin Depot to Present at the 2024 Gateway Conference on September 5th, 2024",Bitcoin Depot reports Q2 revenue $163.1M vs. $197.5M last year,"BTM Earnings Report this Week: Is It a Buy, Ahead of Earnings?","The big risks of bitcoin ATMs Here’s What You Missed in Crypto This Week Bitcoin Depot to Present at the 2024 Gateway Conference on September 5th, 2024 Bitcoin Depot reports Q2 revenue $163.1M vs. $197.5M last year BTM Earnings Report this Week: Is It a Buy, Ahead of Earnings?",1,1,0,1,1,1
16.35M,"17,491","915,422",-1,261,2.900,,,"Sep 6, 2024",MOGO,Mogo Inc.,30.75M,1.28,30.11M,-2.64%,-11.76%,-24.41%,-10.87%,-38.50%,,,,,,,1,-1,-1,-1,-1,-1
,,,-1,"1,770",,,,,NTWK,"NetSol Technologies, Inc.",30.68M,2.69,58.73M,-1.12%,-1.46%,5.24%,-7.14%,-11.26%,,,,,,,0,-1,-1,-1,-1,-1
15.81M,"131,158",-4.85M,-1,30,3.030,Strong Buy,11.00,"Jul 12, 2024",MIGI,Mawson Infrastructure Group Inc.,30.61M,1.65,57.23M,15.29%,5.46%,-1.18%,+15.57%,+11.02%,Mawson Infrastructure Announces Expansion and Diversified Growth Strategy,Mawson Infrastructure Group Expands to Ohio for AI/HPC Expansion,Mawson Infrastructure announces expansion of lease in Phio,Mawson Infrastructure Group Inc. Announces Monthly Operational Update for July 2024,Mawson Infrastructure reports July revenue $3.94M,Mawson Infrastructure Announces Expansion and Diversified Growth Strategy Mawson Infrastructure Group Expands to Ohio for AI/HPC Expansion Mawson Infrastructure announces expansion of lease in Phio Mawson Infrastructure Group Inc. Announces Monthly Operational Update for July 2024 Mawson Infrastructure reports July revenue $3.94M,0,0,0,0,0,0
2.58M,"5,591",10.82M,$1.16,,18.91,,,"Aug 6, 2024",QOMO,Qomolangma Acquisition Corp.,30.56M,12.22,-,2.40%,4.84%,9.93%,+5.42%,+11.69%,Qomolangma Acquisition Corp. Announces Receipt of Notice from Nasdaq Regarding Filing of Quarterly Report on Form 10-Q,Qomolangma Acquisition announces receipt of notice from Nasdaq,,,,Qomolangma Acquisition Corp. Announces Receipt of Notice from Nasdaq Regarding Filing of Quarterly Report on Form 10-Q Qomolangma Acquisition announces receipt of notice from Nasdaq,1,0,1,-1,-1,-1
59.11M,"330,002",-39.70M,-1,37,0.809,Strong Buy,7.80,"Aug 6, 2024",ELBM,Electra Battery Materials Corporation,30.51M,0.54,-,45.30%,41.35%,30.62%,+65.84%,+28.04%,Electra Engages in Global Battery Material Supply Talks,Electra to Discuss Partnership Opportunities at Indonesian Critical Minerals Summit,Electra to discuss opportunities at Indonesian Critical Minerals Summit,Electra Battery Materials Bolsters Strategic Market Position,Electra Battery signs strategic advisory agreement with Altitude Capital,Electra Engages in Global Battery Material Supply Talks Electra to Discuss Partnership Opportunities at Indonesian Critical Minerals Summit Electra to discuss opportunities at Indonesian Critical Minerals Summit Electra Battery Materials Bolsters Strategic Market Position Electra Battery signs strategic advisory agreement with Altitude Capital,0,0,0,0,0,1
22.81M,"315,678",-49.27M,-1,215,2.090,Strong Buy,16.33,"Aug 13, 2024",ACHL,Achilles Therapeutics plc,30.47M,0.74,-,-1.76%,-7.18%,-17.99%,-13.50%,-14.73%,Achilles Therapeutics Excels in Q2 with Promising Trials,Achilles Therapeutics reports Q2 EPS (41c) vs (42c) last year,Achilles Therapeutics Reports Second Quarter 2024 Financial Results and Recent Business Updates,,,Achilles Therapeutics Excels in Q2 with Promising Trials Achilles Therapeutics reports Q2 EPS (41c) vs (42c) last year Achilles Therapeutics Reports Second Quarter 2024 Financial Results and Recent Business Updates,1,1,1,0,-1,-1
10.92M,"63,189",-1.90M,-1,26,4.350,Strong Buy,10.50,"Aug 12, 2024",DARE,"Daré Bioscience, Inc.",30.34M,3.55,2.84M,-0.63%,-8.72%,-22.48%,-0.73%,-42.32%,Dare Bioscience announces publication in The Journal of Sexual Medicine,Daré Bioscience (DARE) was downgraded to a Hold Rating at Maxim Group,Biotech Alert: Searches spiking for these stocks today,Dare Bioscience downgraded to Hold from Buy at Maxim,Wall Street Analysts Are Bullish on Top Healthcare Picks,Dare Bioscience announces publication in The Journal of Sexual Medicine Daré Bioscience (DARE) was downgraded to a Hold Rating at Maxim Group Biotech Alert: Searches spiking for these stocks today Dare Bioscience downgraded to Hold from Buy at Maxim Wall Street Analysts Are Bullish on Top Healthcare Picks,1,1,1,1,1,1
30.02M,"83,235",-9.40M,-1,175,1.450,Strong Buy,2.50,"Aug 15, 2024",FGF,Fundamental Global Inc.,29.99M,1.05,33.50M,5.34%,4.31%,-18.16%,+4.48%,-27.27%,"Fundamental Global Inc. Declares Cash Dividend on Its 8.00% Cumulative Preferred Stock, Series A",,,,,"Fundamental Global Inc. Declares Cash Dividend on Its 8.00% Cumulative Preferred Stock, Series A",1,0,-1,-1,-1,-1
30.91M,"4,945",-5.00M,-1,,1.530,,,"Aug 12, 2024",AIEV,"Thunder Power Holdings, Inc.",29.87M,0.62,-,0.64%,-60.74%,-92.68%,-4.21%,-94.16%,Thunder Power Reports Unaudited Second Quarter 2024 Financial Results,Thunder Power Holdings Secures $100M Investment Deal,,,,Thunder Power Reports Unaudited Second Quarter 2024 Financial Results Thunder Power Holdings Secures $100M Investment Deal,0,0,0,-1,-1,-1
14.50M,"1,564",2.49M,-1,33,3.090,,,"Sep 3, 2024",LUMO,"Lumos Pharma, Inc.",29.65M,3.65,1.49M,57.29%,81.48%,44.94%,+117.74%,+47.81%,Lumos Pharma to Participate in H.C. Wainwright 26th Annual Global Investment Conference,,,,,Lumos Pharma to Participate in H.C. Wainwright 26th Annual Global Investment Conference,0,0,-1,-1,-1,-1
41.54M,"179,794",-72.50M,-1,28,1.130,Strong Buy,8.00,"Aug 8, 2024",CGTX,"Cognition Therapeutics, Inc.",29.62M,0.74,-,-2.67%,-50.83%,-60.60%,-31.50%,-66.59%,Cognition Therapeutics to Participate in Upcoming September 2024 Investor Conferences,Cognition Therapeutics Shares Investor Presentation Update,Cognition Therapeutics announces results from the SEQUEL study of CT1812,Cognition Therapeutics Publishes EEG Findings from Phase 2 SEQUEL Study of CT1812 in Mild-to-Moderate Alzheimer’s Disease,,Cognition Therapeutics to Participate in Upcoming September 2024 Investor Conferences Cognition Therapeutics Shares Investor Presentation Update Cognition Therapeutics announces results from the SEQUEL study of CT1812 Cognition Therapeutics Publishes EEG Findings from Phase 2 SEQUEL Study of CT1812 in Mild-to-Moderate Alzheimer’s Disease,1,0,0,0,0,-1
10.76M,"5,557","-764,000",-1,6,4.360,,,"Aug 13, 2024",RAY,Raytech Holding Limited,29.58M,1.69,8.56M,-35.75%,-50.08%,-53.26%,-57.55%,,,,,,,,0,-1,-1,-1,-1,-1
39.41M,"24,905",-63.79M,-1,"3,509",1.250,Strong Buy,4.00,"Aug 8, 2024",CLPS,CLPS Incorporation,29.51M,1.06,145.37M,33.63%,29.67%,16.08%,+44.64%,+13.55%,,,,,,,0,-1,-1,-1,-1,-1
41.49M,"83,368",-73.88M,-1,142,1.130,Buy,8.30,"Aug 8, 2024",GRRR,Gorilla Technology Group Inc.,29.33M,2.64,64.69M,15.29%,5.00%,-48.81%,+14.72%,-63.81%,Gorilla Technology Welcomes New Interim CFO,,,,,Gorilla Technology Welcomes New Interim CFO,0,0,-1,-1,-1,-1
16.21M,"193,373",-58.08M,-1,203,2.890,Strong Buy,3.50,"Aug 13, 2024",STIM,"Neuronetics, Inc.",29.24M,0.97,72.07M,-31.13%,-44.17%,-65.19%,-53.04%,-78.48%,Neuronetics honors Suicide Prevention Month,Neuronetics announces two-year anniversary of NeuroStar University,Neuronetics Virtual Event to Discuss Greenbrook Merger Risks,Neuronetics Outlines Future Plans and Merger Prospects,Neuronetics price target lowered to $3 from $7 at JMP Securities,Neuronetics honors Suicide Prevention Month Neuronetics announces two-year anniversary of NeuroStar University Neuronetics Virtual Event to Discuss Greenbrook Merger Risks Neuronetics Outlines Future Plans and Merger Prospects Neuronetics price target lowered to $3 from $7 at JMP Securities,1,0,0,0,0,1
191.17M,"503,213",-9.92M,-1,8,0.245,,,"Aug 19, 2024",NRBO,"NeuroBo Pharmaceuticals, Inc.",28.86M,3.40,-,-8.02%,-16.84%,-14.98%,-14.50%,-10.31%,Buy Rating for NeuroBo Pharmaceuticals Based on Financial Stability and Promising Developmental Pipeline,"NeuroBo Pharmaceuticals reports Q2 EPS ($1.85), consensus ($1.12)",NeuroBo Pharmaceuticals Reports Second Quarter 2024 Financial Results and Provides Corporate Update,NeuroBo Completes First Phase 1 Enrollment for Obesity Drug Trial,NeuroBo Pharmaceuticals completes enrollment in Phase 1 trial of DA-1726,"Buy Rating for NeuroBo Pharmaceuticals Based on Financial Stability and Promising Developmental Pipeline NeuroBo Pharmaceuticals reports Q2 EPS ($1.85), consensus ($1.12) NeuroBo Pharmaceuticals Reports Second Quarter 2024 Financial Results and Provides Corporate Update NeuroBo Completes First Phase 1 Enrollment for Obesity Drug Trial NeuroBo Pharmaceuticals completes enrollment in Phase 1 trial of DA-1726",1,1,0,0,0,0
9.68M,"26,087",9.69M,-1,79,4.830,Hold,5.25,"Aug 6, 2024",ICCC,ImmuCell Corporation,28.83M,3.68,23.22M,9.87%,1.53%,-12.67%,-6.40%,-26.50%,"ImmuCell Announces Unaudited Financial Results for the Quarter Ended June 30, 2024",,,,,"ImmuCell Announces Unaudited Financial Results for the Quarter Ended June 30, 2024",0,0,-1,-1,-1,-1
10.76M,"20,837",-38.67M,-1,36,4.340,Buy,10.00,"Aug 13, 2024",SLNH,"Soluna Holdings, Inc.",28.78M,5.00,38.14M,4.26%,-11.46%,30.17%,-16.83%,+58.09%,,,,,,,1,-1,-1,-1,-1,-1
81.99M,"45,199,000",-11.48M,-1,140,0.569,,,"Sep 3, 2024",TKLF,"Yoshitsu Co., Ltd",28.71M,0.68,195.68M,0.83%,33.33%,43.95%,+11.77%,+153.98%,Yoshitsu files to sell 5.97M American depositary shares for holders,Yoshitsu estanblishes franchise network for Southeast Asia expansion,"Yoshitsu Co., Ltd Establishes Franchise Network for Southeast Asia Expansion",,,"Yoshitsu files to sell 5.97M American depositary shares for holders Yoshitsu estanblishes franchise network for Southeast Asia expansion Yoshitsu Co., Ltd Establishes Franchise Network for Southeast Asia Expansion",1,1,1,1,-1,-1
14.40M,"17,503","-76,043",$0.59,325,3.260,,,"Sep 16, 2024",GTEC,Greenland Technologies Holding Corporation,28.68M,2.11,90.36M,16.10%,22.15%,-11.05%,+19.39%,-7.94%,"3 Penny Stocks to Watch Now, 8/20/24",Greenland Reports 99.7% YoY Increase in 2Q 2024 Net Income,,,,"3 Penny Stocks to Watch Now, 8/20/24 Greenland Reports 99.7% YoY Increase in 2Q 2024 Net Income",0,0,0,-1,-1,-1
,,,-1,32,,,,,QNCX,"Quince Therapeutics, Inc.",28.56M,0.66,-,5.09%,-1.92%,-29.71%,-12.59%,-36.05%,Quince Therapeutics announces Phase 3 ATTeST trial for A-T evaluated in Lancet,,,,,Quince Therapeutics announces Phase 3 ATTeST trial for A-T evaluated in Lancet,0,0,-1,-1,-1,-1
16.87M,"8,270",-53.43M,-1,260,2.760,Hold,4.00,"Aug 19, 2024",OESX,"Orion Energy Systems, Inc.",28.52M,0.87,92.87M,-10.20%,-17.10%,-10.51%,-20.37%,-4.44%,LED Lighting and EV Charging Solutions Provider Orion Energy Systems to Attend H.C. Wainwright Investment Conference Sept. 9th and 10th in New York City,,,,,LED Lighting and EV Charging Solutions Provider Orion Energy Systems to Attend H.C. Wainwright Investment Conference Sept. 9th and 10th in New York City,1,1,-1,-1,-1,-1
61.77M,"171,434",-76.57M,-1,5,0.753,Strong Buy,9.00,"Aug 8, 2024",CGBS,Crown LNG Holdings Limited,28.17M,0.40,-,-15.16%,-88.75%,-95.69%,-33.03%,,,,,,,,0,-1,-1,-1,-1,-1
9.66M,"39,844",61.64M,-1,679,4.810,,,"Aug 8, 2024",BRLT,"Brilliant Earth Group, Inc.",28.16M,2.10,441.26M,-13.68%,-14.62%,-28.38%,-20.00%,-30.74%,Brilliant Earth announces expansion of international shopping capabilities,Brilliant Earth Announces International Shopping Expansion Partners With Leading E-commerce Platform Global-e,Brilliant Earth Group (BRLT) Gets a Buy from Telsey Advisory,Brilliant Earth Announces Participation in Goldman Sachs 31st Annual Global Retailing Conference,"Brilliant Earth promotes Catlett to CBO, Dziesietnik to COO","Brilliant Earth announces expansion of international shopping capabilities Brilliant Earth Announces International Shopping Expansion Partners With Leading E-commerce Platform Global-e Brilliant Earth Group (BRLT) Gets a Buy from Telsey Advisory Brilliant Earth Announces Participation in Goldman Sachs 31st Annual Global Retailing Conference Brilliant Earth promotes Catlett to CBO, Dziesietnik to COO",0,0,0,0,0,0
3.97M,"5,926","289,115",-1,38,11.57,,,,GMM,Global Mofy Metaverse Limited,28.09M,0.93,33.99M,-2.49%,2.57%,-73.02%,-5.34%,-1.82%,Global Mofy Unveils 2024 Equity Incentive Plan,Global Mofy AI Adopts New Corporate Structure,,,,Global Mofy Unveils 2024 Equity Incentive Plan Global Mofy AI Adopts New Corporate Structure,1,0,1,-1,-1,-1
,,,-1,134,,,,,PLUR,Pluri Inc.,28.02M,5.20,341.00K,1.23%,0.54%,-1.18%,-1.86%,+16.00%,,,,,,,1,-1,-1,-1,-1,-1
53.56M,"871,028",-46.80M,-1,96,0.866,,,"Sep 3, 2024",EPOW,"Sunrise New Energy Co., Ltd.",27.97M,1.07,45.05M,24.45%,33.38%,18.16%,+66.67%,+24.26%,Sunrise New Energy Calls Meeting for Share Consolidation,"Sunrise Records 132% Surge in First-Half Sales Volume, Featured in Guizhou TV Report as a Leading Anode Materials Manufacturer",,,,"Sunrise New Energy Calls Meeting for Share Consolidation Sunrise Records 132% Surge in First-Half Sales Volume, Featured in Guizhou TV Report as a Leading Anode Materials Manufacturer",0,1,0,-1,-1,-1
3.60M,673,-9.80M,$0.75,"3,367",13.20,,,"Aug 12, 2024",CMLS,Cumulus Media Inc.,27.94M,1.65,833.62M,1.22%,-10.40%,-50.81%,-15.50%,-45.48%,Cumulus Media’s Westwood One Launches 38th Consecutive Season as the Exclusive Primetime Network Radio Partner of the NFL,The Dan Bongino Show to Drop Special Two-Hour Podcast on First Day of Hearings for House Republicans’ Independent Forum on the Assassination Attempt on Former President Donald J. Trump,Cumulus Media’s Westwood One Presents National Audio Coverage of the 2024 College Football Season,Cumulus Media Announces Leadership Changes to the Cumulus Podcast Network,,Cumulus Media’s Westwood One Launches 38th Consecutive Season as the Exclusive Primetime Network Radio Partner of the NFL The Dan Bongino Show to Drop Special Two-Hour Podcast on First Day of Hearings for House Republicans’ Independent Forum on the Assassination Attempt on Former President Donald J. Trump Cumulus Media’s Westwood One Presents National Audio Coverage of the 2024 College Football Season Cumulus Media Announces Leadership Changes to the Cumulus Podcast Network,0,0,1,1,1,-1
4.62M,"2,824",-4.57M,-1,3,9.88,,,"Aug 9, 2024",IXHL,Incannex Healthcare Inc.,27.94M,1.76,661.15K,4.44%,-18.43%,-42.03%,-7.85%,-45.85%,,,,,,,0,-1,-1,-1,-1,-1
7.21M,"6,282,917",-26.92M,-1,800,6.39,Strong Buy,15.33,"Aug 6, 2024",TOI,"The Oncology Institute, Inc.",27.92M,0.37,361.07M,-20.77%,-24.17%,-72.11%,-36.67%,-76.95%,,,,,,,0,-1,-1,-1,-1,-1
44.58M,"9,259",-6.08M,-1,294,1.030,,,"Aug 19, 2024",DRIO,DarioHealth Corp.,27.91M,0.93,19.15M,-9.60%,-22.76%,-43.34%,-24.07%,-39.26%,DarioHealth price target lowered to $3 from $5 at TD Cowen,DarioHealth Buy Rating Affirmed: Strategic Growth and Path to Profitability,,,,DarioHealth price target lowered to $3 from $5 at TD Cowen DarioHealth Buy Rating Affirmed: Strategic Growth and Path to Profitability,0,0,1,-1,-1,-1
11.95M,"14,328",-20.13M,-1,28,3.720,,,"Aug 19, 2024",AGMH,AGM Group Holdings Inc.,27.89M,1.15,92.91M,16.05%,48.86%,-17.63%,+48.68%,-29.81%,AGM Holdings Appoints New CEO for Canadian Growth,,,,,AGM Holdings Appoints New CEO for Canadian Growth,1,1,-1,-1,-1,-1
72.96M,"605,001",-98.57M,-1,"1,300",0.629,Buy,4.50,"Aug 13, 2024",GORV,"Lazydays Holdings, Inc.",27.77M,1.96,987.99M,-22.19%,-34.35%,-58.13%,-42.14%,-54.83%,Lazydays downgraded to Market Perform from Outperform at CJS Securities,Lazydays price target lowered to $2 from $4 at Truist,Lazydays reports Q2 EPS ($1.42) consensus (24c),LAZYDAYS REPORTS SECOND QUARTER 2024 RESULTS,Analysts Offer Insights on Consumer Cyclical Companies: Lazydays Holdings (GORV) and Dollar General (DG),Lazydays downgraded to Market Perform from Outperform at CJS Securities Lazydays price target lowered to $2 from $4 at Truist Lazydays reports Q2 EPS ($1.42) consensus (24c) LAZYDAYS REPORTS SECOND QUARTER 2024 RESULTS Analysts Offer Insights on Consumer Cyclical Companies: Lazydays Holdings (GORV) and Dollar General (DG),0,1,0,1,1,1
21.74M,"14,970","8,652",-1,43,2.100,,,"Sep 6, 2024",KALA,"KALA BIO, Inc.",27.69M,6.01,-,-0.68%,-5.35%,-11.56%,-9.23%,-22.37%,Oppenheimer ‘encouraged’ by Kala Pharmaceuticals trial progress,,,,,Oppenheimer ‘encouraged’ by Kala Pharmaceuticals trial progress,1,0,-1,-1,-1,-1
4.08M,"1,301","-187,466",-1,74,11.15,,,,BTAI,"BioXcel Therapeutics, Inc.",27.67M,0.68,2.40M,-17.91%,-36.49%,-72.88%,-46.00%,-77.26%,Bioxcel Therapeutics Earns Buy Rating on Promising Clinical Trials and Market Potential,BioXcel Therapeutics announces initiation of SERENITY Phase 3 trial,BioXcel Therapeutics Announces Initiation of SERENITY At-Home Pivotal Phase 3 Safety Trial of BXCL501 for Acute Treatment of Agitation Associated with Bipolar Disorders or Schizophrenia,Bioxcel Therapeutics (BTAI) Receives a Hold from Mizuho Securities,,Bioxcel Therapeutics Earns Buy Rating on Promising Clinical Trials and Market Potential BioXcel Therapeutics announces initiation of SERENITY Phase 3 trial BioXcel Therapeutics Announces Initiation of SERENITY At-Home Pivotal Phase 3 Safety Trial of BXCL501 for Acute Treatment of Agitation Associated with Bipolar Disorders or Schizophrenia Bioxcel Therapeutics (BTAI) Receives a Hold from Mizuho Securities,0,1,0,0,0,-1
,,,-1,10,,,,,VYNE,VYNE Therapeutics Inc.,27.58M,1.87,486.00K,-0.14%,-6.46%,-25.20%,-5.26%,-36.40%,Buy Rating for VYNE Therapeutics Amid Strong Financial Footing and Promising Clinical Trials,Buy Rating Affirmed for VYNE Therapeutics on Strong Financials and Promising Drug Trials,VYNE Therapeutics sees cash runway through end of 2025,VYNE Therapeutics reports Q2 EPS (22c) vs. ($3.09) last year,VYNE Therapeutics Reports Second Quarter 2024 Financial Results and Provides Business Update,Buy Rating for VYNE Therapeutics Amid Strong Financial Footing and Promising Clinical Trials Buy Rating Affirmed for VYNE Therapeutics on Strong Financials and Promising Drug Trials VYNE Therapeutics sees cash runway through end of 2025 VYNE Therapeutics reports Q2 EPS (22c) vs. ($3.09) last year VYNE Therapeutics Reports Second Quarter 2024 Financial Results and Provides Business Update,1,1,1,1,1,0
10.45M,"27,826",-1.24M,-1,14,4.350,Strong Buy,10.00,"Aug 14, 2024",ITRM,Iterum Therapeutics plc,27.47M,1.21,-,-6.55%,-9.22%,-25.12%,-7.95%,-37.50%,Buy Rating Justified for Iterum Therapeutics Amid Strong Sulopenem Prospects and Upcoming FDA Advisory Committee Review,Iterum Therapeutics price target lowered to $5 from $6 at H.C. Wainwright,Iterum Therapeutics Reports Second Quarter 2024 Financial Results,Iterum Therapeutics reports Q2 EPS (23c) vs (77c) last year,,Buy Rating Justified for Iterum Therapeutics Amid Strong Sulopenem Prospects and Upcoming FDA Advisory Committee Review Iterum Therapeutics price target lowered to $5 from $6 at H.C. Wainwright Iterum Therapeutics Reports Second Quarter 2024 Financial Results Iterum Therapeutics reports Q2 EPS (23c) vs (77c) last year,0,0,0,0,1,-1
4.07M,118,"967,934",-1,42,11.12,,,,SRZN,"Surrozen, Inc.",27.47M,8.57,-,23.62%,5.68%,-3.07%,+15.88%,-16.08%,Surrozen Provides Second Quarter 2024 Financial Results and Business Update,,,,,Surrozen Provides Second Quarter 2024 Financial Results and Business Update,0,0,-1,-1,-1,-1
,,,-1,234,,,,,UTSI,UTStarcom Holdings Corp.,27.36M,2.90,15.75M,3.37%,3.45%,-3.20%,-3.52%,+5.79%,UTStarcom Reports Decreased Mid-Year Financials,,,,,UTStarcom Reports Decreased Mid-Year Financials,1,1,-1,-1,-1,-1
86.00M,"1,286,593",-204.10M,-1,3,0.526,Buy,4.00,"Aug 7, 2024",MIRA,"MIRA Pharmaceuticals, Inc.",27.34M,1.85,-,-4.75%,30.22%,47.19%,-18.10%,+68.63%,MIRA says it achieves 100% reversal of neuropathic pain with oral Ketamir-2,Mira Pharmaceuticals provides update on preparing IND submission,Mira Pharmaceuticals announces preclinical data on Ketamir-2,Telomir Pharmaceuticals announces passing of CEO Christopher Chapman,Mira Pharmaceuticals files $100M mixed securities shelf,MIRA says it achieves 100% reversal of neuropathic pain with oral Ketamir-2 Mira Pharmaceuticals provides update on preparing IND submission Mira Pharmaceuticals announces preclinical data on Ketamir-2 Telomir Pharmaceuticals announces passing of CEO Christopher Chapman Mira Pharmaceuticals files $100M mixed securities shelf,0,1,0,0,0,1
9.22M,"477,587",-1.89M,-1,128,4.90,Hold,,"Aug 13, 2024",CVV,CVD Equipment Corporation,27.11M,3.94,21.61M,2.72%,-1.13%,-16.48%,-4.69%,-37.95%,,,,,,,0,-1,-1,-1,-1,-1
27.98M,"14,530",-61.28M,-1,,1.610,Strong Buy,6.00,"Aug 1, 2024",MNDR,Mobile-health Network Solutions,27.00M,0.79,11.53M,-9.90%,-32.47%,-83.47%,-30.35%,,,,,,,,0,-1,-1,-1,-1,-1
34.64M,"17,289",-28.37M,-1,29,1.310,Buy,5.00,"Aug 8, 2024",BCLI,Brainstorm Cell Therapeutics Inc.,26.85M,0.34,-,-1.51%,-10.96%,-16.93%,-6.49%,-50.84%,BrainStorm files $172.56M mixed securities shelf,Buy Rating Affirmed for Brainstorm Cell Therapeutics Amid Strategic Advances and Robust Financials,BrainStorm Cell Therapeutics Announces Second Quarter 2024 Financial Results and Provides Corporate Update,BrainStorm reports Q2 EPS (4c) vs. (13c) last year.,,BrainStorm files $172.56M mixed securities shelf Buy Rating Affirmed for Brainstorm Cell Therapeutics Amid Strategic Advances and Robust Financials BrainStorm Cell Therapeutics Announces Second Quarter 2024 Financial Results and Provides Corporate Update BrainStorm reports Q2 EPS (4c) vs. (13c) last year.,0,0,1,1,1,-1
30.83M,"142,640",-47.58M,-1,12,1.460,,,"Aug 13, 2024",ICU,SeaStar Medical Holding Corporation,26.68M,6.40,-,-22.63%,-26.86%,-58.70%,-41.36%,-70.41%,SeaStar Medical to Webcast Fireside Chat at the H.C. Wainwright Global Investment Conference,SeaStar Medical eliminates all long-term debt,SeaStar Medical Strengthens Financial Position with Elimination of All Long-Term Debt,Buy Rating Affirmed for SeaStar Medical on Strong Pediatric Milestone and AKI Market Opportunity,SeaStar Medical reports Q2 EPS ($1.03) vs. ($4.10) last year,SeaStar Medical to Webcast Fireside Chat at the H.C. Wainwright Global Investment Conference SeaStar Medical eliminates all long-term debt SeaStar Medical Strengthens Financial Position with Elimination of All Long-Term Debt Buy Rating Affirmed for SeaStar Medical on Strong Pediatric Milestone and AKI Market Opportunity SeaStar Medical reports Q2 EPS ($1.03) vs. ($4.10) last year,0,0,0,0,0,0
4.08M,"4,010","721,716",-1,114,11.01,,,,NWGL,Nature Wood Group Limited,26.65M,1.61,25.46M,-4.64%,-20.08%,-79.07%,-15.68%,-89.30%,,,,,,,1,-1,-1,-1,-1,-1
,,,-1,43,,,,,AEHL,Antelope Enterprise Holdings Limited,26.55M,2.18,72.00M,-25.89%,-29.96%,4.20%,-52.42%,+34.01%,,,,,,,0,-1,-1,-1,-1,-1
4.86M,"81,718",-7.00M,-1,51,9.23,Strong Buy,13.17,"Jul 31, 2024",DTST,Data Storage Corporation,26.51M,3.79,25.32M,-14.27%,-31.42%,-21.93%,-29.76%,-34.93%,Analysts Offer Insights on Technology Companies: Data Storage (DTST) and WNS (WNS),Data Storage reports Q2 EPS (4c) vs 3c last year,"Is DTST a Buy, Before Earnings?",,,"Analysts Offer Insights on Technology Companies: Data Storage (DTST) and WNS (WNS) Data Storage reports Q2 EPS (4c) vs 3c last year Is DTST a Buy, Before Earnings?",1,0,1,1,-1,-1
3.53M,401,"90,487",-1,19,13.28,,,,UBX,"Unity Biotechnology, Inc.",26.45M,1.57,-,12.65%,15.84%,2.43%,+9.15%,+6.37%,Unity Biotechnology initiated with a Buy at Rodman & Renshaw,,,,,Unity Biotechnology initiated with a Buy at Rodman & Renshaw,0,0,-1,-1,-1,-1
